Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Found in	Score	
cgd5_1640	cgd5_1640-RA	C. parvum Iowa II	CM000433:355,319..356,248(-)	MORN repeat containing protein	InterPro	1	
cgd5_3170	cgd5_3170-RA	C. parvum Iowa II	CM000433:738,180..738,638(+)	Histone H2B	Product, InterPro	2	
cgd5_400	cgd5_400-RA	C. parvum Iowa II	CM000433:103,870..106,923(+)	Histone-lysine N-methyltransferase	GOTerms, Product	2	
cgd5_740	cgd5_740-RA	C. parvum Iowa II	CM000433:181,128..182,540(-)	WD40-repeat-containing protein	InterPro	1	
cgd5_940	cgd5_940-RA	C. parvum Iowa II	CM000433:229,927..230,385(-)	Histone H2A	Product, InterPro	2	
cgd6_1380	cgd6_1380-RA	C. parvum Iowa II	CM000434:330,921..332,243(+)	Histone deacetylase	GOTerms, InterPro, Product	3	
cgd6_1470	cgd6_1470-RA	C. parvum Iowa II	CM000434:350,153..352,792(-)	SET/Zinc finger, RING/FYVE/PHD-type domain containing protein	GOTerms	1	
cgd6_1540	cgd6_1540-RA	C. parvum Iowa II	CM000434:363,895..365,013(-)	Histone RNA hairpin-binding protein	Product, InterPro	2	
cgd6_1550	cgd6_1550-RA	C. parvum Iowa II	CM000434:365,386..365,967(-)	Chromatin modification-related protein Eaf6	InterPro, GOTerms	2	
cgd6_2570	cgd6_2570-RA	C. parvum Iowa II	CM000434:597,597..598,694(-)	MORN domain repeat containing protein	InterPro	1	
cgd6_2590	cgd6_2590-RA	C. parvum Iowa II	CM000434:602,368..604,026(-)	Histone acetyltransferase	Product, InterPro, GOTerms	3	
cgd6_80	cgd6_80-RA	C. parvum Iowa II	CM000434:24,270..25,652(-)	Histone deacetylase	Product, GOTerms, InterPro	3	
cgd7_1700	cgd7_1700-RA	C. parvum Iowa II	CM000435:429,622..430,498(-)	Histone H2B	Product, InterPro	2	
cgd7_1930	cgd7_1930-RA	C. parvum Iowa II	CM000435:484,390..487,716(-)	Creatinase/Aminopeptidase P/Spt16/cdc68p/PH-like domain-containing protein	InterPro	1	
cgd7_2880	cgd7_2880-RA	C. parvum Iowa II	CM000435:686,315..686,761(+)	Transcription initiation factor TFIID subunit 12	InterPro	1	
cgd7_3230	cgd7_3230-RA	C. parvum Iowa II	CM000435:748,341..749,054(-)	SLBP family of RNA binding proteins	InterPro	1	
cgd7_3500	cgd7_3500-RA	C. parvum Iowa II	CM000435:792,775..793,581(-)	Leo1-like protein	GOTerms	1	
cgd7_5280	cgd7_5280-RA	C. parvum Iowa II	CM000435:1,214,772..1,216,545(-)	PH1/SSRP1-like domain containing protein	InterPro	1	
cgd7_60	cgd7_60-RA	C. parvum Iowa II	CM000435:24,835..26,389(-)	Hat1-like acetyltransferase	InterPro	1	
cgd8_130	cgd8_130-RA	C. parvum Iowa II	CM000436:32,231..34,037(-)	Vps72/YL1	GOTerms	1	
cgd8_2170	cgd8_2170-RA	C. parvum Iowa II	CM000436:584,485..585,286(-)	Histone H2A	InterPro, Product	2	
cgd8_2430	cgd8_2430-RA	C. parvum Iowa II	CM000436:643,820..645,799(+)	Serine/Threonine protein kinase	InterPro	1	
cgd8_250	cgd8_250-RA	C. parvum Iowa II	CM000436:67,183..68,895(-)	Histone acetyltransferase	InterPro, GOTerms, Product	3	
cgd8_480	cgd8_480-RA	C. parvum Iowa II	CM000436:113,025..116,073(+)	Histone deacetylase	InterPro, Product	2	
cgd8_5230	cgd8_5230-RA	C. parvum Iowa II	CM000436:1,298,598..1,299,302(-)	Histone H4	Product, InterPro	2	
